Table Names;Generations;Distance_abs_avg_mean;Distance_abs_avg_median;Distance_abs_avg_std;Distance_abs_avg_iqr;Distance_abs_best_mean;Distance_abs_best_median;Distance_abs_best_std;Distance_abs_best_iqr;Distance_rel_avg_mean;Distance_rel_avg_median;Distance_rel_avg_std;Distance_rel_avg_iqr;Distance_rel_best_mean;Distance_rel_best_median;Distance_rel_best_std;Distance_rel_best_iqr;Plausibility_avg_mean;Plausibility_avg_median;Plausibility_avg_std;Plausibility_avg_iqr;Plausibility_best_mean;Plausibility_best_median;Plausibility_best_std;Plausibility_best_iqr;Correlation_avg_abs;Correlation_best_absolute;Frequency;Frequency_average;gen_count;Intersections;Intersections_average
final_results_TUMOR.xlsx/TUMOR_0#9_EVA;1;0,543428714;0,545475481;0,012273470;0,014181391;0,290321637;0,300751880;0,057291523;0,072002924;0,433023027;0,434832129;0,015221364;0,025013589;0,127745196;0,148351648;0,072834413;0,064171123;-21.401666666666621;-22.491666666666649;4.3148641310168472;6.6791666666666778;-126.90000000000001;-125;41.135143126042472;40.5;0.96438521244457009;0.60370714621196864;;;;;
final_results_TUMOR.xlsx/TUMOR_0#9_EVA;2;0,616840653;0,613989804;0,009006058;0,012032089;0,426941464;0,421936759;0,050351569;0,065422078;0,493688116;0,492944265;0,018869544;0,021180818;0,200909091;0,181818182;0,047765070;0,018181818;-21.551666666666627;-21.3333333333333;8.336123421813264;12.083333333333327;-225.40000000000001;-191;142.6325504379854;152.25;;;;;;;
final_results_TUMOR.xlsx/TUMOR_0#9_EVA;3;0,645281685;0,648524997;0,011405543;0,012622222;0,416798419;0,421936759;0,032745816;0,025691700;0,518329390;0,524385352;0,020722222;0,035815346;0,231591742;0,190909091;0,077868992;0,098951049;-16.326666666666636;-14.31666666666665;7.8520627155473335;6.3124999999999982;-198.30000000000001;-158.5;146.802247939192;57;;;;;;;
final_results_TUMOR.xlsx/TUMOR_0#9_EVA;4;0,660901234;0,662187009;0,013828004;0,021848827;0,424258109;0,434782609;0,034927908;0,038059163;0,536255641;0,541954123;0,028468266;0,051141794;0,262274392;0,253846154;0,090870828;0,145104895;-16.559999999999967;-14.6416666666666;6.2650618512509597;4.4166666666666998;-233.30000000000001;-188;134.19972677567816;96.5;;;;;;;
final_results_TUMOR.xlsx/TUMOR_0#9_EVA;5;0,671356198;0,675496730;0,011785100;0,017482575;0,452757388;0,454545455;0,024381019;0,014822134;0,550508508;0,555929177;0,023424229;0,035449311;0,281505162;0,320512821;0,087885319;0,146969697;-14.654999999999983;-12.941666666666649;5.2299473004450201;3.3499999999999979;-207;-158.5;140.82534494109282;54.5;;;;;;;
final_results_TUMOR.xlsx/TUMOR_0#9_EVA;6;0,675887053;0,678480937;0,012166135;0,008791599;0,446038020;0,454545455;0,024084423;0,019762846;0,556733518;0,562607349;0,023749923;0,025982369;0,270735931;0,266666667;0,090867440;0,146969697;-14.266666666666655;-12.566666666666649;4.5752015404572477;6.9416666666666735;-178.80000000000001;-163;101.53357408594786;66.25;;;;;;;
final_results_TUMOR.xlsx/TUMOR_0#9_EVA;7;0,681544352;0,685312628;0,013248102;0,012460508;0,446245059;0,454545455;0,024379517;0,019762846;0,565393909;0,570736018;0,025531421;0,034020090;0,288917749;0,333333333;0,089275084;0,133333333;-13.481666666666655;-12.649999999999951;4.2021191743637516;6.8249999999999797;-149.59999999999999;-150;59.234374404657217;62;;;;;;;
final_results_TUMOR.xlsx/TUMOR_0#9_EVA;8;0,688135570;0,689218145;0,013437356;0,008536080;0,459683794;0,454545455;0,032874774;0,032608696;0,577902241;0,580410257;0,023137326;0,033063395;0,314214192;0,333333333;0,091370737;0,122727273;-13.226666666666654;-13.675000000000001;5.188592663445486;6.4833333333332792;-165.30000000000001;-181;56.797985097282357;75.75;;;;;;;
final_results_TUMOR.xlsx/TUMOR_0#9_EVA;9;0,692825556;0,695099474;0,011636701;0,011703084;0,457312253;0,454545455;0,024879915;0,017786561;0,588603926;0,595679510;0,020823561;0,031956134;0,348759646;0,333333333;0,098376778;0,099896480;-11.844999999999976;-12.199999999999999;3.6523039405386304;5.7124999999999506;-165.30000000000001;-181;56.797985097282357;75.75;;;;;;;
final_results_TUMOR.xlsx/TUMOR_0#9_EVA;10;0,697013160;0,700747294;0,013267719;0,017379951;0,461660079;0,454545455;0,024297497;0,023715415;0,596669675;0,607860119;0,021628744;0,033647775;0,350735931;0,333333333;0,100473073;0,114718615;-11.18333333333331;-11.32499999999995;4.2813549257215122;6.7666666666666195;-143.19999999999999;-127;66.377372315839352;59.75;;;;;;;
